spot_id,timestamp,vehicle_present,obstruction,confidence
A-01,2026-09-20 08:10:00,True,shadow,0.78
A-01,2026-09-20 08:56:00,False,tree,0.51
A-01,2026-09-20 09:44:00,False,shadow,0.69
A-01,2026-09-20 09:45:00,True,none,0.86
A-01,2026-09-20 10:37:00,False,none,0.98
A-01,2026-09-20 11:30:00,False,none,0.93
A-01,2026-09-20 12:12:00,True,none,0.93
A-01,2026-09-20 13:00:00,True,none,0.93
A-01,2026-09-20 13:52:00,True,glare,0.56
A-01,2026-09-20 14:38:00,False,none,0.93
A-02,2026-09-20 08:19:00,True,shadow,0.71
A-02,2026-09-20 09:12:00,True,shadow,0.7
A-02,2026-09-20 09:54:00,True,none,0.93
A-02,2026-09-20 10:39:00,False,glare,0.59
A-02,2026-09-20 11:30:00,False,shadow,0.65
A-02,2026-09-20 12:18:00,True,none,0.98
A-02,2026-09-20 13:10:00,True,tree,0.55
A-02,2026-09-20 13:56:00,False,tree,0.51
A-02,2026-09-20 14:33:00,False,none,0.92
A-03,2026-09-20 08:09:00,False,none,0.95
A-03,2026-09-20 08:55:00,False,none,0.98
A-03,2026-09-20 09:49:00,False,none,0.92
A-03,2026-09-20 10:33:00,False,none,0.95
A-03,2026-09-20 11:23:00,False,none,0.87
A-03,2026-09-20 12:06:00,False,none,0.96
A-03,2026-09-20 12:49:00,False,glare,0.64
A-03,2026-09-20 13:31:00,False,none,0.86
A-03,2026-09-20 14:13:00,False,none,0.92
A-04,2026-09-20 08:09:00,True,none,0.91
A-04,2026-09-20 09:02:00,True,none,0.98
A-04,2026-09-20 09:53:00,True,tree,0.54
A-04,2026-09-20 10:45:00,True,shadow,0.68
A-04,2026-09-20 11:32:00,True,none,0.88
A-04,2026-09-20 12:21:00,True,none,0.87
A-04,2026-09-20 12:59:00,True,none,0.93
A-04,2026-09-20 13:45:00,True,tree,0.43
A-04,2026-09-20 14:24:00,True,glare,0.62
A-05,2026-09-20 08:03:00,True,shadow,0.7
A-05,2026-09-20 08:48:00,True,glare,0.52
A-05,2026-09-20 09:23:00,True,none,0.98
A-05,2026-09-20 10:02:00,True,glare,0.72
A-05,2026-09-20 10:57:00,True,none,0.95
A-05,2026-09-20 11:43:00,True,none,0.9
A-05,2026-09-20 11:44:00,False,none,0.91
A-05,2026-09-20 12:35:00,True,tree,0.6
A-05,2026-09-20 13:16:00,True,none,0.96
A-05,2026-09-20 13:58:00,True,none,0.92
A-06,2026-09-20 08:00:00,False,shadow,0.6
A-06,2026-09-20 08:49:00,False,glare,0.6
A-06,2026-09-20 09:31:00,False,glare,0.55
A-06,2026-09-20 10:12:00,False,glare,0.47
A-06,2026-09-20 11:02:00,False,glare,0.57
A-06,2026-09-20 11:40:00,False,shadow,0.66
A-06,2026-09-20 12:20:00,False,shadow,0.74
A-06,2026-09-20 13:07:00,False,shadow,0.57
A-06,2026-09-20 13:47:00,False,none,0.85
A-07,2026-09-20 08:20:00,True,tree,0.52
A-07,2026-09-20 08:21:00,False,none,0.91
A-07,2026-09-20 09:06:00,False,none,0.93
A-07,2026-09-20 09:41:00,False,glare,0.64
A-07,2026-09-20 10:29:00,False,none,0.97
A-07,2026-09-20 11:12:00,False,none,0.89
A-07,2026-09-20 12:05:00,False,none,0.89
A-07,2026-09-20 12:44:00,False,none,0.98
A-07,2026-09-20 13:33:00,False,glare,0.55
A-07,2026-09-20 14:24:00,False,none,0.92
B-01,2026-09-20 08:14:00,True,tree,0.44
B-01,2026-09-20 09:04:00,True,tree,0.59
B-01,2026-09-20 09:55:00,False,tree,0.52
B-01,2026-09-20 10:47:00,False,none,0.88
B-01,2026-09-20 11:25:00,False,tree,0.66
B-01,2026-09-20 12:02:00,False,shadow,0.55
B-01,2026-09-20 12:43:00,False,glare,0.59
B-01,2026-09-20 13:34:00,False,none,0.95
B-01,2026-09-20 14:17:00,False,tree,0.68
B-02,2026-09-20 08:03:00,False,shadow,0.61
B-02,2026-09-20 08:44:00,False,glare,0.67
B-02,2026-09-20 09:39:00,True,glare,0.65
B-02,2026-09-20 10:28:00,False,none,0.95
B-02,2026-09-20 11:18:00,False,none,0.99
B-02,2026-09-20 11:58:00,False,glare,0.61
B-02,2026-09-20 12:39:00,False,none,0.89
B-02,2026-09-20 13:14:00,False,none,0.93
B-02,2026-09-20 13:49:00,False,shadow,0.62
B-03,2026-09-20 08:03:00,True,none,0.86
B-03,2026-09-20 08:43:00,True,none,0.96
B-03,2026-09-20 09:26:00,True,shadow,0.54
B-03,2026-09-20 10:11:00,True,shadow,0.26
B-03,2026-09-20 10:51:00,False,shadow,0.77
B-03,2026-09-20 11:28:00,False,none,0.86
B-03,2026-09-20 12:05:00,False,none,0.97
B-03,2026-09-20 12:50:00,False,tree,0.48
B-03,2026-09-20 13:26:00,False,tree,0.51
B-04,2026-09-20 08:01:00,True,none,0.98
B-04,2026-09-20 08:52:00,True,none,0.89
